bodyPart,equipment,gifUrl,id,name,target,instructions
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0001.gif,1,3/4 sit-up,abs,"<ol>
  <li>Start by lying flat on your back with your knees bent and feet flat on the floor.</li>
  <li>Place your hands behind your head, with your elbows pointing out to the sides.</li>
  <li>Engage your core muscles by pulling your belly button in towards your spine.</li>
  <li>Slowly lift your head, shoulders, and upper back off the ground, while keeping your lower back pressed into the floor.</li>
  <li>Pause for a moment at the top of the movement, then slowly lower yourself back down to the starting position.</li>
  <li>Repeat for the desired number of repetitions.</li>
  <li>Remember to breathe throughout the exercise, exhaling as you lift up and inhaling as you lower back down.</li>
  <li>For added challenge, you can hold a weight or medicine ball against your chest as you perform the exercise.</li>
</ol>"
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0002.gif,2,45° side bend,abs,"<ol>
<li>Stand with your feet shoulder-width apart and your arms at your sides.</li>
<li>Place your right hand on your right hip and raise your left arm straight overhead.</li>
<li>Inhale deeply and as you exhale, slowly bend your upper body to the right side, keeping your left arm straight and your hand reaching towards the right.</li>
<li>Hold the stretch for 15-30 seconds, feeling the stretch in your left side.</li>
<li>Inhale and slowly return to the starting position.</li>
<li>Repeat the exercise on the opposite side by placing your left hand on your left hip and raising your right arm straight overhead.</li>
<li>Perform 10-15 repetitions on each side.</li>
</ol>"
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0003.gif,3,air bike,abs,"<ol>
  <li>Adjust the seat and handlebars to your height.</li>
  <li>Place your feet on the pedals and secure them with the straps.</li>
  <li>Begin pedaling with your arms and legs simultaneously.</li>
  <li>Start with a warm-up of 5-10 minutes at a moderate pace.</li>
  <li>Gradually increase the resistance level to increase the intensity of the workout.</li>
  <li>Alternate between high-intensity intervals and recovery periods.</li>
  <li>For a high-intensity interval, pedal as fast as you can for 20-30 seconds.</li>
  <li>For a recovery period, pedal at a slower pace for 60-90 seconds.</li>
  <li>Repeat the high-intensity interval and recovery period for 10-20 minutes.</li>
  <li>Cool down with 5-10 minutes of pedaling at a slow pace.</li>
  <li>Stretch your legs and arms after the workout.</li>
</ol>"
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1512.gif,1512,all fours squad stretch,quads,"<ol>
<li>Start on your hands and knees, with your wrists directly under your shoulders and your knees directly under your hips.</li>
<li>Keep your spine in a neutral position, with your head in line with your back.</li>
<li>Extend your right leg behind you, keeping it straight and parallel to the ground.</li>
<li>At the same time, lift your left arm in front of you, keeping it straight and parallel to the ground.</li>
<li>Hold this position for 10-15 seconds, feeling a stretch in your right hip and left shoulder.</li>
<li>Return to the starting position on all fours.</li>
<li>Repeat the stretch on the other side, extending your left leg behind you and lifting your right arm in front of you.</li>
<li>Continue alternating sides for 5-10 repetitions on each side.</li>
<li>Remember to breathe deeply and evenly throughout the exercise.</li>
<li>As you become more comfortable with the stretch, you can increase the duration of each hold or add a slight twist to the torso for an additional stretch.</li>
</ol>"
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0006.gif,6,alternate heel touchers,abs,"<ol>
<li>Start by lying flat on your back with your knees bent and feet flat on the floor.</li>
<li>Place your arms flat on the ground beside your body.</li>
<li>Engage your core muscles by pulling your belly button towards your spine.</li>
<li>Slowly lift your head, neck, and shoulders off the ground.</li>
<li>Bring your left hand towards your left heel, while keeping your right hand on the ground beside you.</li>
<li>Lower your upper body back to the ground and repeat on the other side, bringing your right hand towards your right heel.</li>
<li>Continue alternating sides for the desired number of repetitions.</li>
<li>Remember to keep your core engaged throughout the exercise and to breathe deeply.</li>
<li>For a more advanced variation, try extending your legs straight up towards the ceiling while performing the exercise.</li>
</ol>"
back,cable,http://d205bpvrqc9yn1.cloudfront.net/0007.gif,7,alternate lateral pulldown,lats,"<ol>
  <li>Begin by sitting at a cable machine with a high pulley attachment.</li>
  <li>Grasp the handle with one hand and sit with your back straight facing the machine.</li>
  <li>Engage your core and keep your feet flat on the ground.</li>
  <li>Begin the exercise by pulling the handle down towards your hip while keeping your elbow close to your body.</li>
  <li>As you lower the handle, rotate your torso to the opposite side.</li>
  <li>Pause for a moment at the bottom of the movement, then slowly return to the starting position while rotating your torso back to the starting position.</li>
  <li>Repeat the exercise on the opposite side.</li>
  <li>Complete 3 sets of 10-12 repetitions on each side.</li>
</ol>"
lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1368.gif,1368,ankle circles,calves,"<ol>
  <li>Start by sitting on a chair or bench with your feet flat on the ground.</li>
  <li>Lift one foot off the ground and extend it in front of you.</li>
  <li>Slowly rotate your ankle clockwise, making small circles with your foot.</li>
  <li>Complete 10 rotations in a clockwise direction.</li>
  <li>Switch to counterclockwise rotations and complete 10 rotations in that direction.</li>
  <li>Lower your foot back to the ground and repeat the exercise with the other foot.</li>
  <li>Continue alternating between feet for 2-3 sets of 10 rotations in each direction.</li>
</ol>"
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3293.gif,3293,archer pull up,lats,"<ol>
  <li>Begin by standing in front of a pull-up bar with your feet shoulder-width apart.</li>
  <li>Jump up and grip the bar with one hand overhand and the other hand underhand, with your hands shoulder-width apart.</li>
  <li>Hang from the bar with your arms fully extended and your body straight.</li>
  <li>Pull your shoulder blades down and back, and engage your core.</li>
  <li>Begin the movement by pulling with your upper arm and elbow, while keeping your lower arm and hand stationary.</li>
  <li>As you pull yourself up towards the bar, rotate your torso and lift your knee up towards your opposite elbow.</li>
  <li>Continue pulling until your chin is above the bar and your elbow is at a 90-degree angle.</li>
  <li>Slowly lower yourself back down to the starting position.</li>
  <li>Repeat the movement, alternating sides with each repetition.</li>
  <li>Perform 3 sets of 8-12 repetitions, resting for 60 seconds between sets.</li>
</ol>"
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3294.gif,3294,archer push up,pectorals,"<ol>
<li>Start in a push-up position with your hands shoulder-width apart and your feet together.</li>
<li>Shift your weight to your left hand and rotate your body to the right, extending your right arm out to the side like an archer pulling back a bowstring.</li>
<li>Bend your elbows and lower your body towards the ground, keeping your right arm extended out to the side.</li>
<li>Push back up to the starting position, shifting your weight to your right hand and rotating your body to the left, extending your left arm out to the side.</li>
<li>Bend your elbows and lower your body towards the ground, keeping your left arm extended out to the side.</li>
<li>Push back up to the starting position and repeat for the desired number of reps.</li>
</ol>"
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2355.gif,2355,arm slingers hanging bent knee legs,abs,"<ol>
<li>Find a sturdy bar or ledge that can support your weight.</li>
<li>Hang from the bar with your arms fully extended.</li>
<li>Bend your knees and bring them up towards your chest.</li>
<li>Slowly lower your legs back down, straightening them out as much as possible.</li>
<li>As you lower your legs, simultaneously swing your arms forward and up towards the bar.</li>
<li>Return to the starting position with your arms fully extended and your legs bent.</li>
<li>Repeat for desired number of repetitions.</li>
</ol>"
